char_len,word_count,sentence_count,exclamation_count,question_count,upper_ratio,digit_ratio,url_count,email_count,html_tag_count,has_html,attachment_hint,unsubscribe_count,money_symbol_count,phone_pattern_count,punctuation_density,spam_keyword_count,promo_keyword_count,too_many_links,repeated_char_flag
2061,309,45,10,0,0.0,0.008733624454148471,0,0,0,0,0,1,0,0,0.041242115477923336,9,7,0,0
1198,184,8,4,1,0.0,0.07512520868113523,0,0,0,0,0,0,0,0,0.11769616026711185,1,2,0,0
267,41,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.033707865168539325,1,1,0,0
93,18,1,0,0,0.0,0.10752688172043011,0,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0
1150,193,16,0,0,0.0,0.0408695652173913,0,0,0,0,0,0,2,0,0.06608695652173913,3,6,0,0
159,27,3,1,0,0.0,0.012578616352201259,0,0,0,0,1,0,0,0,0.025157232704402517,0,0,0,0
749,130,7,0,0,0.0,0.03337783711615487,0,0,0,0,0,0,0,0,0.021361815754339118,0,0,0,0
1258,189,8,0,0,0.0,0.016693163751987282,0,0,0,0,0,0,0,0,0.014308426073131956,1,0,0,0
969,182,10,2,0,0.0,0.009287925696594427,0,0,0,0,0,0,0,0,0.021671826625386997,0,1,0,0
622,113,10,0,1,0.0,0.008038585209003215,0,0,0,0,0,0,0,0,0.03697749196141479,1,1,0,0
845,135,9,1,1,0.0,0.014201183431952662,0,0,0,0,0,0,0,0,0.028402366863905324,0,0,0,0
269,40,1,0,0,0.0,0.022304832713754646,0,0,0,0,0,0,0,0,0.03345724907063197,0,0,0,0
71,18,1,0,0,0.0,0.1267605633802817,0,0,0,0,0,0,0,0,0.028169014084507043,0,0,0,0
321,42,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.024922118380062305,1,1,0,0
2187,371,23,0,2,0.0,0.0361225422953818,0,0,0,0,0,0,0,0,0.054412437128486514,0,3,0,0
1294,209,17,0,0,0.0,0.0865533230293663,0,0,0,0,0,0,0,7,0.02627511591962906,0,0,0,0
762,102,1,0,0,0.0,0.03805774278215223,0,0,0,0,0,0,0,0,0.08923884514435695,0,0,0,0
228,32,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.14473684210526316,0,0,0,0
7271,1128,59,4,1,0.0,0.006876633200385091,0,0,0,0,1,0,0,0,0.022830422225278504,11,11,0,0
4620,698,4,0,0,0.0,0.005194805194805195,0,0,0,0,0,0,0,0,0.03766233766233766,3,6,0,0
1087,187,8,0,0,0.0,0.06807727690892364,0,0,0,0,0,0,0,0,0.03771849126034959,1,1,0,0
927,174,13,0,3,0.0,0.0,0,0,0,0,0,0,0,0,0.021574973031283712,0,0,0,0
373,47,3,0,0,0.0,0.06970509383378017,0,0,0,0,1,0,0,0,0.1769436997319035,0,0,0,0
509,84,5,0,0,0.0,0.06286836935166994,0,0,0,0,1,0,0,0,0.043222003929273084,0,0,0,0
1211,163,5,0,0,0.0,0.04541701073492981,0,0,0,0,0,0,0,0,0.1263418662262593,0,0,0,0
1142,197,9,0,1,0.0,0.010507880910683012,0,0,0,0,0,0,0,0,0.02276707530647986,2,1,0,0
363,62,4,0,0,0.0,0.030303030303030304,0,0,0,0,1,0,0,0,0.02203856749311295,0,1,0,0
361,58,3,0,0,0.0,0.008310249307479225,0,0,0,0,0,0,0,0,0.038781163434903045,0,1,0,0
533,89,6,0,0,0.0,0.0075046904315197,0,0,0,0,0,0,0,0,0.013133208255159476,0,0,0,0
2094,341,36,4,0,0.0,0.03772683858643744,0,0,0,0,0,4,3,2,0.03677172874880611,5,9,0,0
417,65,4,0,0,0.0,0.014388489208633094,0,0,0,0,0,0,0,0,0.011990407673860911,3,4,0,0
1333,218,10,0,0,0.0,0.08627156789197299,0,0,0,0,0,0,11,0,0.06601650412603151,0,1,0,0
210,29,2,0,0,0.0,0.047619047619047616,0,0,0,0,0,0,0,0,0.11428571428571428,0,0,0,0
210,31,13,2,1,0.0,0.0,0,0,0,0,0,1,0,0,0.07142857142857142,2,1,0,0
490,70,2,1,0,0.0,0.05102040816326531,0,0,0,0,0,0,0,0,0.12040816326530612,0,0,0,0
81,16,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.024691358024691357,1,1,0,0
444,74,12,1,0,0.04918032786885246,0.02027027027027027,0,2,0,0,0,0,0,0,0.06981981981981981,0,0,0,1
1097,182,7,0,0,0.0,0.019143117593436645,0,0,0,0,0,0,0,0,0.04831358249772106,0,4,0,0
483,67,9,0,1,0.0,0.08488612836438923,0,0,0,0,0,0,0,2,0.041407867494824016,1,0,0,1
735,136,9,0,0,0.0,0.02040816326530612,0,0,0,0,0,0,1,0,0.021768707482993196,0,1,0,0
1513,234,12,1,0,0.0,0.04230006609385327,0,0,0,0,1,0,0,0,0.08261731658955718,3,5,0,0
1314,190,19,0,2,0.0,0.03729071537290715,0,0,0,0,0,0,0,0,0.07229832572298325,0,1,0,0
753,140,7,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0.017264276228419653,0,2,0,0
150,25,3,0,0,0.0,0.13333333333333333,0,0,0,0,0,0,0,0,0.06,1,2,0,0
376,63,5,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.018617021276595744,0,0,0,0
712,135,11,2,1,0.0,0.0,0,0,0,0,0,0,0,0,0.026685393258426966,0,1,0,0
988,157,17,1,2,0.0483619344773791,0.019230769230769232,2,1,0,0,0,0,0,0,0.14777327935222673,6,1,0,1
1146,177,19,0,0,0.0,0.014834205933682374,0,0,0,0,0,0,0,0,0.06108202443280977,1,1,0,0
535,89,5,0,0,0.0,0.028037383177570093,0,0,0,0,0,0,0,0,0.029906542056074768,1,1,0,0
1419,227,18,0,0,0.0,0.040169133192389,0,0,0,0,1,0,0,0,0.046511627906976744,1,1,0,0
4558,667,62,0,3,0.0,0.02106186924089513,0,0,0,0,1,0,0,0,0.06406318560772269,3,3,0,0
385,56,7,0,0,0.0,0.023376623376623377,0,0,0,0,0,0,0,0,0.07532467532467532,0,0,0,0
3489,583,49,1,12,0.0,0.010891372886213814,0,0,0,0,0,0,2,0,0.02722843221553454,3,3,0,1
422,74,6,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.023696682464454975,0,0,0,0
815,134,3,0,0,0.0,0.0036809815950920245,0,0,0,0,0,0,0,0,0.0098159509202454,0,2,0,0
891,137,3,0,0,0.0,0.04489337822671156,0,0,0,0,0,0,0,0,0.07631874298540965,0,0,0,0
1339,213,13,0,0,0.0,0.002987303958177745,0,0,0,0,0,0,0,0,0.01717699775952203,2,3,0,0
1153,207,13,0,0,0.0,0.03469210754553339,0,0,0,0,1,0,0,3,0.01821335646140503,0,0,0,0
2137,383,20,0,0,0.0,0.02901263453439401,0,0,0,0,0,0,0,0,0.029948525970987367,1,3,0,0
970,164,11,0,2,0.0,0.010309278350515464,0,0,0,0,0,0,0,0,0.026804123711340205,0,2,0,0
854,137,27,1,0,0.0,0.00117096018735363,0,0,0,0,0,0,0,0,0.04800936768149883,1,1,0,0
282,59,6,0,1,0.0,0.1276595744680851,0,0,0,0,0,0,0,0,0.02127659574468085,1,3,0,0
496,90,8,0,0,0.0,0.07258064516129033,0,0,0,0,0,0,0,0,0.03024193548387097,0,2,0,0
143,26,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.02097902097902098,1,1,0,0
826,134,18,1,1,0.0,0.0,0,0,0,0,0,0,0,0,0.03026634382566586,1,1,0,0
817,127,8,0,0,0.0,0.0587515299877601,0,0,0,0,0,0,0,0,0.09547123623011015,0,0,0,0
2000,284,26,0,1,0.0,0.028,0,0,0,0,1,0,1,0,0.062,1,1,0,0
519,69,11,7,1,0.0,0.009633911368015413,0,0,0,0,0,0,2,0,0.046242774566473986,0,1,0,0
1321,227,38,0,0,0.0,0.03255109765329296,0,0,0,0,1,0,0,0,0.0757002271006813,5,0,0,0
500,69,2,0,0,0.0,0.09,0,0,0,0,0,0,0,0,0.13,0,0,0,0
300,36,2,0,0,0.0,0.08666666666666667,0,0,0,0,1,0,0,0,0.19333333333333333,0,0,0,0
1451,225,11,0,0,0.0,0.01791867677463818,0,0,0,0,1,0,0,0,0.021364576154376293,3,1,0,0
2633,413,38,0,0,0.0,0.01405241169768325,0,0,0,0,0,0,0,0,0.049753133308013675,2,4,0,0
4976,748,73,0,2,0.0,0.0767684887459807,0,0,0,0,0,0,0,11,0.10691318327974277,1,11,0,0
1122,180,10,0,2,0.0,0.059714795008912656,0,0,0,0,0,0,0,2,0.07308377896613191,1,1,0,0
544,84,4,0,2,0.0,0.034926470588235295,0,0,0,0,0,0,0,0,0.09926470588235294,1,1,0,0
517,91,6,1,0,0.0,0.009671179883945842,0,0,0,0,0,0,0,0,0.019342359767891684,0,1,0,0
1251,200,11,0,1,0.0,0.015187849720223821,0,0,0,0,1,0,0,0,0.03597122302158273,1,0,0,0
417,77,3,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.009592326139088728,0,2,0,0
79848,12753,971,0,4,0.0,0.018597835888187555,0,0,0,0,1,0,198,0,0.027239254583709047,112,126,0,0
1100,206,18,3,2,0.0,0.00909090909090909,0,0,0,0,0,0,0,0,0.031818181818181815,6,9,0,0
147,23,2,0,0,0.0,0.027210884353741496,0,0,0,0,0,0,0,0,0.034013605442176874,0,0,0,0
473,83,7,0,0,0.0,0.042283298097251586,0,0,0,0,0,0,0,0,0.040169133192389,0,1,0,0
1219,188,17,0,0,0.0,0.04101722723543889,0,0,0,0,0,0,0,2,0.03691550451189499,1,1,0,0
1172,187,19,0,1,0.0743801652892562,0.017064846416382253,3,5,2,1,0,0,0,0,0.05204778156996587,1,0,1,1
633,98,5,0,0,0.0,0.03949447077409163,0,0,0,0,0,0,0,0,0.0315955766192733,1,4,0,0
1328,192,6,0,0,0.0,0.023343373493975902,0,0,0,0,1,0,0,0,0.06325301204819277,0,1,0,0
903,116,2,0,0,0.0,0.036544850498338874,0,0,0,0,0,0,0,0,0.10741971207087486,0,0,0,0
2452,385,27,2,2,0.0,0.02365415986949429,0,0,0,0,1,0,0,0,0.028140293637846654,6,9,0,0
3325,570,31,1,3,0.0,0.0033082706766917294,0,0,0,0,1,0,0,0,0.027669172932330826,3,5,0,0
632,116,4,0,0,0.0,0.07911392405063292,0,0,0,0,0,0,0,0,0.060126582278481014,0,0,0,0
215,37,5,0,0,0.07228915662650602,0.009302325581395349,1,0,0,0,0,0,0,0,0.05116279069767442,0,0,0,0
177,32,9,0,0,0.0,0.04519774011299435,0,0,0,0,1,0,0,0,0.07344632768361582,0,0,0,0
1242,170,30,0,2,0.0,0.04186795491143317,0,0,0,0,0,0,0,0,0.05958132045088567,0,0,0,0
1026,175,4,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.010721247563352826,1,1,0,0
253,40,3,0,0,0.0,0.015810276679841896,0,0,0,0,1,0,0,0,0.019762845849802372,0,0,0,0
481,69,2,0,0,0.0,0.09563409563409564,0,0,0,0,0,0,0,0,0.060291060291060294,0,0,0,0
3093,538,32,0,0,0.0,0.010345942450695119,0,0,0,0,1,0,1,0,0.02780472033624313,2,13,0,0
1104,166,9,0,0,0.0,0.050724637681159424,0,0,0,0,0,0,0,0,0.08333333333333333,1,1,0,1
4339,725,54,0,1,0.0,0.00944918183913344,0,0,0,0,1,0,0,0,0.0327264346623646,2,4,0,0
550,73,5,0,2,0.0,0.02181818181818182,0,0,0,0,0,0,0,0,0.14727272727272728,1,1,0,0
197,30,2,0,0,0.0,0.050761421319796954,0,0,0,0,1,0,0,0,0.04568527918781726,0,0,0,0
1141,189,15,3,1,0.07627118644067797,0.04294478527607362,0,0,0,0,0,0,3,1,0.05083260297984225,2,0,0,1
35,5,1,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0.02857142857142857,0,0,0,0
2929,431,40,0,1,0.0,0.03277569136223967,0,0,0,0,1,0,0,0,0.041652441106179584,0,1,0,0
3781,609,40,0,0,0.0,0.023009785770960064,0,0,0,0,1,0,0,0,0.03015075376884422,7,9,0,0
580,92,7,1,1,0.05333333333333334,0.0,3,0,0,0,0,0,0,0,0.04482758620689655,0,0,1,0
892,128,16,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0.03923766816143498,0,0,0,0
9762,1515,97,1,2,0.0,0.014648637574267568,0,0,0,0,1,0,14,0,0.022433927473878304,11,12,0,0
2841,458,44,1,1,0.0,0.014783526927138331,0,0,0,0,0,2,5,0,0.03203097500879972,5,7,0,0
2010,314,75,0,61,0.0,0.013432835820895522,0,0,0,0,0,0,0,0,0.0691542288557214,2,2,0,0
